#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
30421	4383943	1489680	SARS-CoV-1ab-nsp5ab	nsp5ab	nsp5|sars1ab|orf1ab|SARS-CoV nsp5ab|SARS-CoV nsp5|SARS-CoV sars1ab|orf1ab-nsp5|orf1ab-nsp5ab|pp1ab|3C-like proteinase|3CL-PRO|3CLp|R1AB_CVHSA|PRO_0000037312	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Hoffman RL (2020)	33054210	239600	9959	PF-00835231	1H-Indole-2-carboxamide, N-[(1S)-1-[[[(1S)-3-hydroxy-2-oxo-1-[[(3S)-2-oxo-3-pyrrolidinyl]methyl]propyl]amino]carbonyl]-3-methylbutyl]-4-methoxy-|N-[(2S)-1-({(2S)-4-Hydroxy-3-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-4-methyl-1-oxo-2-pentanyl]-4-methoxy-1H-indole-2-carboxamide	-	CHEMSPIDER	9736673	C24H32N4O6	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	QDIMHKWNHMVDJB-WBAXXEDZSA-N
30422	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Dai W (2020)	32321856	239601	9982	MPro Inhibitor 11a	1H-Indole-2-carboxamide, N-[(1S)-1-(cyclohexylmethyl)-2-[[(1S)-1-formyl-2-[(3S)-2-oxo-3-pyrrolidinyl]ethyl]amino]-2-oxoethyl]-|MPro Inhibitor 11a|N-[(2S)-3-Cyclohexyl-1-oxo-1-({(2S)-1-oxo-3-[(3S)-2-oxo-3-pyrrolidinyl]-2-propanyl}amino)-2-propanyl]-1H-indole-2-carboxamide	-	CHEMSPIDER	88294718	C25H32N4O4	small molecule	-	2103278-86-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	HPKJGHVHQWJOOT-ZJOUEHCJSA-N
30423	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Dai W (2020)	32321856	239601	9981	MPro Inhibitor 11b	MPro Inhibitor 11b|3-Fluoro-Nalpha-(1H-indol-2-ylcarbonyl)-N-{(2S)-1-oxo-3-[(3S)-2-oxo-3-pyrrolidinyl]-2-propanyl}-L-phenylalaninamide|1H-Indole-2-carboxamide, N-[(1S)-1-[(3-fluorophenyl)methyl]-2-[[(1S)-1-formyl-2-[(3S)-2-oxo-3-pyrrolidinyl]ethyl]amino]-2-oxoethyl]-	-	CHEMSPIDER	88294719	C25H25FN4O4	small molecule	-	2413716-71-7	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	HCRBVFBQANEDDM-CUWPLCDZSA-N
30424	4383950	1489680	SARS-CoV-1ab-nsp13ab	nsp13ab	nsp13|sars1ab|orf1ab|SARS-CoV nsp13ab|SARS-CoV nsp13|SARS-CoV sars1ab|orf1ab-nsp13|orf1ab-nsp13ab|pp1ab|Helicase|Hel|R1AB_CVHSA|PRO_0000037319	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Adedeji AO (2012)	22733076	239602	9957	SSYA10-001	4-allyl-5-{[(2-nitrophenyl)thio]methyl}-4H-1,2,4-triazole-3-thiol|3H-1,2,4-Triazole-3-thione, 2,4-dihydro-5-[[(2-nitrophenyl)thio]methyl]-4-(2-propen-1-yl)-|4-Allyl-5-{[(2-nitrophenyl)sulfanyl]methyl}-2,4-dihydro-3H-1,2,4-triazole-3-thione	-	CHEMSPIDER	2085693	C12H12N4O2S2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral helicase inhibitor	VWFIHGWHMXSTAO-UHFFFAOYSA-N
30425	4383897	14254602	G128_gp01ab_nsp13	nsp13ab	ORF1ab|nsp13|rep|1AB|MERS-CoV nsp13|orf1ab-nsp13|orf1ab-nsp13ab|nsp13ab|Helicase|R1AB_CVEMC|PRO_0000422450	1335626	Middle-East Respiratory Syndrome-related Coronavirus	inhibitor	target	Adedeji AO (2014)	24841268	239603	9957	SSYA10-001	4-allyl-5-{[(2-nitrophenyl)thio]methyl}-4H-1,2,4-triazole-3-thiol|3H-1,2,4-Triazole-3-thione, 2,4-dihydro-5-[[(2-nitrophenyl)thio]methyl]-4-(2-propen-1-yl)-|4-Allyl-5-{[(2-nitrophenyl)sulfanyl]methyl}-2,4-dihydro-3H-1,2,4-triazole-3-thione	-	CHEMSPIDER	2085693	C12H12N4O2S2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral helicase inhibitor	VWFIHGWHMXSTAO-UHFFFAOYSA-N
30426	4383950	1489680	SARS-CoV-1ab-nsp13ab	nsp13ab	nsp13|sars1ab|orf1ab|SARS-CoV nsp13ab|SARS-CoV nsp13|SARS-CoV sars1ab|orf1ab-nsp13|orf1ab-nsp13ab|pp1ab|Helicase|Hel|R1AB_CVHSA|PRO_0000037319	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Tanner JA (2005)	15797214	239604	9938	Bananin	AKOS016036756|BANANIN|HY-145113|CS-0356439	-	PUBCHEM	59053860	C14H17NO8	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral helicase inhibitor	-
30427	4383951	1489680	SARS-CoV-1ab-nsp14ab	nsp14ab	nsp14|sars1ab|orf1ab|SARS-CoV nsp14ab|SARS-CoV nsp14|SARS-CoV sars1ab|orf1ab-nsp14|orf1ab-nsp14ab|pp1ab|Guanine-N7 methyltransferase|ExoN|R1AB_CVHSA|PRO_0000037320	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Bouvet M (2010)	20421945	238722	9963	Aurintricarboxylic acid	ATA|Aurintricarboxylic acid|Benzoic acid, 5-((3-carboxy-4-hydroxyphenyl)(3-carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methyl)-2-hydroxy-|3,3'-[(3-carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methanediyl]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|MFCD00011663	-	CHEMSPIDER	2172	C22H14O9	small molecule	-	4431-00-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; pan-MTase inhibitor	GIXWDMTZECRIJT-UHFFFAOYSA-N
30428	4383953	1489680	SARS-CoV-1ab-nsp16ab	nsp16ab	nsp16|sars1ab|orf1ab|SARS-CoV nsp16ab|SARS-CoV nsp16|SARS-CoV sars1ab|orf1ab-nsp16|orf1ab-nsp16ab|pp1ab|2-O-methyltransferase|R1AB_CVHSA|PRO_0000037322	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Bouvet M (2010)	20421945	238722	9963	Aurintricarboxylic acid	ATA|Aurintricarboxylic acid|Benzoic acid, 5-((3-carboxy-4-hydroxyphenyl)(3-carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methyl)-2-hydroxy-|3,3'-[(3-carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methanediyl]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|MFCD00011663	-	CHEMSPIDER	2172	C22H14O9	small molecule	-	4431-00-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; pan-MTase inhibitor	GIXWDMTZECRIJT-UHFFFAOYSA-N
30434	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Zhang L (2020)	32198291	221191	9984	2-Methyl-2-propanyl {1-[(2S)-1-({(2S,3R)-4-(benzylamino)-3-hydroxy-4-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-3-cyclopropyl-1-oxo-2-propanyl]-2-oxo-1,2-dihydro-3-pyridinyl}carbamate	2-Methyl-2-propanyl {1-[(2S)-1-({(2S,3R)-4-(benzylamino)-3-hydroxy-4-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-3-cyclopropyl-1-oxo-2-propanyl]-2-oxo-1,2-dihydro-3-pyridinyl}carbamate	-	CHEMSPIDER	88294383	C31H41N5O7	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: Viral Mpro/3CLpro protease inhibitor	FRACPXUHUTXLCX-BELIEFIBSA-N
30435	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Hattori SI (2021)	33510133	239605	9939	GRL-1720	GRL-1720|INDOLE CHLOROPYRIDINYL-ESTER DERIVED, 2|Indole chloropyridinyl-ester derived, 2	-	PUBCHEM	156600307	C14H11ClN2O2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: Viral Mpro/3CLpro protease inhibitor	-
30437	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Iqbal S (2022)	888800000814	238898	9940	F1877-0839	F1877-0839|AKOS024616227|872595-28-3|1-(3-METHOXYPHENYL)-5-OXO-N-[5-[2-OXO-2-(1,3-THIAZOL-2-YLAMINO)ETHYL]SULFANYL-1,3,4-THIADIAZOL-2-YL]PYRROLIDINE-3-CARBOXAMIDE|1-(3-METHOXYPHENYL)-5-OXO-N-(5-((2-OXO-2-(THIAZOL-2-YLAMINO)ETHYL)THIO)-1,3,4-THIADIAZOL-2-YL)PYRROLIDINE-3-CARBOXAMIDE|1-(3-METHOXYPHENYL)-5-OXO-N-[5-({[(1,3-THIAZOL-2-YL)CARBAMOYL]METHYL}SULFANYL)-1,3,4-THIADIAZOL-2-YL]PYRROLIDINE-3-CARBOXAMIDE|1-(3-methoxyphenyl)-5-oxo-N-(5-((2-oxo-2-(thiazol-2-ylamino)ethyl)thio)-1,3,4-thiadiazol-2-yl)pyrrolidine-3-carboxamide	-	PUBCHEM	16832490	C19H18N6O4S3	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: Viral Spike inhibitor	-
30438	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Iqbal S (2022)	888800000814	238898	9941	F0470-0003	3-(2-CHLOROPHENYL)-5-METHYL-N-(5-((2-OXO-2-(THIAZOL-2-YLAMINO)ETHYL)THIO)-1,3,4-THIADIAZOL-2-YL)ISOXAZOLE-4-CARBOXAMIDE|AKOS002046982|391868-57-8|ZINC16977044|3-(2-CHLOROPHENYL)-5-METHYL-N-(5-{[2-OXO-2-(1,3-THIAZOL-2-YLAMINO)ETHYL]THIO}-1,3,4-THIADIAZOL-2-YL)ISOXAZOLE-4-CARBOXAMIDE|3-(2-CHLOROPHENYL)-5-METHYL-N-[5-({[(1,3-THIAZOL-2-YL)CARBAMOYL]METHYL}SULFANYL)-1,3,4-THIADIAZOL-2-YL]-1,2-OXAZOLE-4-CARBOXAMIDE|F0470-0003|OPREA1_347251|3-(2-CHLOROPHENYL)-5-METHYL-N-[5-[2-OXO-2-(1,3-THIAZOL-2-YLAMINO)ETHYL]SULFANYL-1,3,4-THIADIAZOL-2-YL]-1,2-OXAZOLE-4-CARBOXAMIDE|3-(2-chlorophenyl)-5-methyl-N-(5-((2-oxo-2-(thiazol-2-ylamino)ethyl)thio)-1,3,4-thiadiazol-2-yl)isoxazole-4-carboxamide	-	PUBCHEM	4564796	C18H13ClN6O3S3	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: Viral Spike inhibitor	-
30440	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Srinivasan V (2022)	35953531	238809	9983	4-(2-hydroxyethyl)phenol	Tyrosol|Benzeneethanol, 4-hydroxy-|4-Hydroxyphenylethanol|4-(2-Hydroxyethyl)phenol|p-Hydroxyphenethyl alcohol|2-(4-Hydroxyphenyl)ethanol|4-Hydroxyphenethyl alcohol|4-Hydroxyphenylethyl alcohol|b-(4-Hydroxyphenyl)ethanol|b-(p-Hydroxyphenyl)ethanol|beta-(4-Hydroxyphenyl)ethanol|beta-(p-Hydroxyphenyl)ethanol|4-(2-Hydroxyethyl)benzolol|2-(4-Hydroxyphenyl)ethan-1-ol|phenethyl alcohol, 4-hydroxy-|p-Hydroxyphenylethanol|Ethanol, 2-(4-hydroxyphenyl)-|4-hydroxy-Benzeneethanol|UNII-1AK4MU3SNX|p-HPEA|1AK4MU3SNX	-	CHEMSPIDER	9964	C8H10O2	small molecule	-	501-94-0	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	YCCILVSKPBXVIP-UHFFFAOYSA-N
